,word,actual_frequency,relative_frequency,zipf_frequency,difference_actual,difference_percent
442,quarter,1,1/443,0.1602708803611738,0.8397291196388262,623.943661971831
443,century,1,1/444,0.15990990990990991,0.8400900900900901,625.3521126760563
444,passed,1,1/445,0.15955056179775282,0.8404494382022472,626.7605633802817
445,young,1,1/446,0.1591928251121076,0.8408071748878924,628.1690140845071
446,old,1,1/447,0.1588366890380313,0.8411633109619687,629.5774647887325
447,children,1,1/448,0.15848214285714285,0.8415178571428572,630.9859154929578
448,born,1,1/449,0.15812917594654788,0.8418708240534521,632.3943661971831
449,buried,1,1/450,0.15777777777777777,0.8422222222222222,633.8028169014085
450,leave,1,1/451,0.1574279379157428,0.8425720620842572,635.2112676056338
451,knowing,1,1/452,0.1570796460176991,0.8429203539823009,636.6197183098592
452,when,1,1/453,0.15673289183222958,0.8432671081677704,638.0281690140845
453,return,1,1/454,0.1563876651982379,0.8436123348017621,639.4366197183098
454,greater,1,1/455,0.15604395604395604,0.843956043956044,640.8450704225352
455,rested,1,1/456,0.1557017543859649,0.8442982456140351,642.2535211267606
456,attended,1,1/457,0.15536105032822756,0.8446389496717724,643.661971830986
457,succeed,1,1/458,0.15502183406113537,0.8449781659388647,645.0704225352113
458,fail,1,1/459,0.15468409586056647,0.8453159041394336,646.4788732394366
459,trusting,1,1/460,0.15434782608695652,0.8456521739130435,647.887323943662
460,go,1,1/461,0.1540130151843818,0.8459869848156182,649.2957746478874
461,remain,1,1/462,0.15367965367965367,0.8463203463203464,650.7042253521126
462,where,1,1/463,0.1533477321814255,0.8466522678185745,652.112676056338
463,good,1,1/464,0.15301724137931033,0.8469827586206897,653.5211267605634
464,confidently,1,1/465,0.15268817204301074,0.8473118279569892,654.9295774647887
465,commending,1,1/466,0.15236051502145923,0.8476394849785408,656.3380281690141
466,your,1,1/467,0.15203426124197003,0.8479657387580299,657.7464788732394
467,commend,1,1/468,0.15170940170940173,0.8482905982905983,659.1549295774647
468,bid,1,1/469,0.15138592750533048,0.8486140724946696,660.5633802816902
469,affectionate,1,1/470,0.15106382978723404,0.848936170212766,661.9718309859155
